2012-05-09 04:56:05 Notice: Notice (8): Undefined variable: count in [/home/dev/public_html/Coordino/app/views/posts/display.ctp, line 12]
2012-05-09 05:39:58 Notice: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [/home/dev/public_html/Coordino/app/controllers/components/p28n.php, line 7]
2012-05-09 06:04:49 Notice: Notice (8): Undefined variable: questions in [/home/dev/public_html/Coordino/app/models/tag.php, line 89]
2012-08-12 15:01:26 Notice: Notice (8): Undefined variable: continue in [/Users/cruisemaniac/Documents/work/Coordino/app/views/installer/start.ctp, line 34]
2012-08-12 15:01:52 Notice: Notice (8): Undefined variable: continue in [/Users/cruisemaniac/Documents/work/Coordino/app/views/installer/start.ctp, line 34]
2012-08-12 15:13:52 Notice: Notice (8): Undefined variable: continue in [/Users/cruisemaniac/Documents/work/Coordino/app/views/installer/start.ctp, line 34]
2012-08-12 15:28:09 Notice: Notice (8): Undefined property: SessionComponent::$enabled in [/Users/cruisemaniac/Documents/work/Coordino/cake/libs/controller/component.php, line 142]
2012-08-12 15:28:57 Notice: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [/Users/cruisemaniac/Documents/work/Coordino/app/controllers/components/p28n.php, line 7]
2012-08-12 15:53:32 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:45:42 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:50:17 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:50:57 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:09 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:10 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:11 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:11 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:11 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:12 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:12 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:12 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:13 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:13 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:13 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:14 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:51:16 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:52:24 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:54:14 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:54:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:54:15 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:55:08 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:57:24 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 16:59:22 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:00:58 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:00 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:01 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:01 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:01 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:01 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:02 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:02 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:02 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:02 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:03 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
2012-08-12 17:01:03 Notice: Notice (8): Undefined variable: questions in [/Users/cruisemaniac/Documents/work/Coordino/app/models/tag.php, line 89]
